split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
split1,2022-08-22,5,1000000,vanilla,100,20,big,Softmax,0.908883826879271,0.91646409034729,0.8302504420280457,0.7917376756668091,0.853924036026001,0.2634775936603546,0.5436598062515259,0.5246772766113281,0.4650721251964569,0.9884794354438782,0.9308298826217651,0.5543086528778076,0.824539303779602,0.04380952566862106,0.4452380836009979,0.9119047522544861,0.7642857432365417
split1,2022-08-22,1,1000001,vanilla,100,20,big,Softmax,0.9229309035687167,0.916496753692627,0.8325823545455933,0.7867236733436584,0.8536310195922852,0.21829916536808014,0.6514806151390076,0.5858010649681091,0.5387243628501892,0.98136305809021,0.9465009570121765,0.6327350735664368,0.8535330295562744,0.10428571701049805,0.33523809909820557,0.7952380776405334,0.6695238351821899
split1,2022-08-22,2,1000002,vanilla,100,20,big,Softmax,0.9259681093394077,0.9193413257598877,0.8257105946540833,0.8063355684280396,0.856766402721405,0.202353835105896,0.6886864304542542,0.5941534042358398,0.5406226515769958,0.9774019122123718,0.943095326423645,0.5574169754981995,0.8259714245796204,0.11952380836009979,0.3742857277393341,0.915238082408905,0.7895237803459167
split1,2022-08-22,3,1000003,vanilla,100,20,big,Softmax,0.922171602126044,0.9210190176963806,0.8320819139480591,0.8033645153045654,0.8591252565383911,0.21260440349578857,0.5899772047996521,0.5353075265884399,0.48025816679000854,0.9751227498054504,0.9405761957168579,0.4697963297367096,0.7951651811599731,0.1371428519487381,0.36047619581222534,0.9685714244842529,0.8809523582458496
split1,2022-08-22,4,1000004,vanilla,100,20,big,Softmax,0.9248291571753985,0.9218524694442749,0.8432289361953735,0.8308675289154053,0.8702375888824463,0.2224753201007843,0.587699294090271,0.48785117268562317,0.43052393198013306,0.9872764348983765,0.9391235709190369,0.5097959041595459,0.8120653033256531,0.04857143014669418,0.40142858028411865,0.9314285516738892,0.8328571319580078
split1,2022-08-23,1,1000000,oe,100,20,big,Softmax,0.9104024297646166,0.9109265804290771,0.8243277072906494,0.7297133803367615,0.8347905874252319,0.2877752482891083,0.5964312553405762,0.7615793347358704,0.5527714490890503,0.9999995827674866,0.9999995231628418,0.999829888343811,0.9999430179595947,0.0,0.0,0.0009523809421807528,0.0
split1,2022-08-23,2,1000001,oe,100,20,big,Softmax,0.9107820804859529,0.9083432555198669,0.8291121125221252,0.7846416234970093,0.8487071394920349,0.28473803400993347,0.5914958119392395,0.5933941006660461,0.4977220892906189,0.9999999403953552,0.9999984502792358,0.9998825788497925,0.9999603033065796,0.0,0.0,0.0004761904710903764,0.0
split1,2022-08-23,3,1000002,oe,100,20,big,Softmax,0.9191343963553531,0.9205091595649719,0.8490366339683533,0.7887585163116455,0.8619123101234436,0.25398632884025574,0.5231586694717407,0.5880789756774902,0.47000759840011597,0.9999996423721313,0.9999998807907104,0.9998876452445984,0.9999624490737915,0.0,0.0,0.0004761904710903764,0.0
split1,2022-08-23,4,1000003,oe,100,20,big,Softmax,0.9100227790432803,0.9102553129196167,0.8414296507835388,0.7673884034156799,0.8500201106071472,0.24829156696796417,0.5842824578285217,0.6279422640800476,0.5136674046516418,0.9999998807907104,0.9999999403953552,0.9998489618301392,0.99994957447052,0.0,0.0,0.0014285714132711291,0.0
split1,2022-08-23,5,1000004,oe,100,20,big,Softmax,0.9126803340926348,0.9177175164222717,0.8543087840080261,0.7241328954696655,0.8474702835083008,0.21753986179828644,0.4567198157310486,0.7460136413574219,0.5345482230186462,1.0,1.0,0.9998602271080017,0.9999533891677856,0.0,0.0,0.0009523809421807528,0.0
split1,2022-08-23,1,1000000,oe,100,20,big,softmax_temp,0.9104024297646166,0.9386674165725708,0.7918517589569092,0.6365076303482056,0.8107948303222656,0.19286257028579712,0.8006833791732788,0.922930896282196,0.8006833791732788,0.9999996423721313,0.9999995827674866,0.9998432397842407,0.9999474287033081,0.0,0.0,0.0009523809421807528,0.0
split1,2022-08-23,2,1000001,oe,100,20,big,softmax_temp,0.9107820804859529,0.93271803855896,0.7947015166282654,0.6930896043777466,0.8230860233306885,0.23386484384536743,0.7668944597244263,0.8667426109313965,0.7331055402755737,1.0,0.9999985098838806,0.9998855590820312,0.9999613761901855,0.0,0.0,0.0004761904710903764,0.0
split1,2022-08-23,3,1000002,oe,100,20,big,softmax_temp,0.9191343963553531,0.944929301738739,0.8188973665237427,0.6098603010177612,0.8171387910842896,0.2015945315361023,0.6936218738555908,0.9077448844909668,0.7551252841949463,0.9999997615814209,1.0,0.9998959898948669,0.9999651908874512,0.0,0.0,0.0004761904710903764,0.0
split1,2022-08-23,4,1000003,oe,100,20,big,softmax_temp,0.9100227790432803,0.9283447265625,0.7945381999015808,0.6973860859870911,0.8223806619644165,0.2589218020439148,0.7661351561546326,0.8572513461112976,0.7251328825950623,1.0,0.9999999403953552,0.9998572468757629,0.9999524354934692,0.0,0.0,0.0009523809421807528,0.0
split1,2022-08-23,5,1000004,oe,100,20,big,softmax_temp,0.9126803340926348,0.9334731101989746,0.8486745357513428,0.6285196542739868,0.8285609483718872,0.24221715331077576,0.6040242910385132,0.8986332416534424,0.7019742131233215,0.9999999403953552,0.9999999403953552,0.9998759031295776,0.9999586343765259,0.0,0.0,0.0009523809421807528,0.0
