split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR
split2,2022_08_09,1,6244298157479741865,oe,100,64,big,Softmax,81.6204,0.798940122127533,0.8068717122077942,0.728995680809021,0.7877272963523865,0.554763674736023,0.6117779612541199,0.5791447758674622,0.5873968601226807
split2,2022_08_09,2,6244298157479741865,oe,100,64,big,Softmax,80.8327,0.7993097901344299,0.8041016459465027,0.7242685556411743,0.7859787344932556,0.5401350259780884,0.6440359950065613,0.5757689476013184,0.5757689476013184
split2,2022_08_09,3,6244298157479741865,oe,100,64,big,Softmax,81.8455,0.7913932800292969,0.8102144002914429,0.7334076762199402,0.7863835692405701,0.5240060091018677,0.5926481485366821,0.5840210318565369,0.5675168633460999
split2,2022_08_09,4,6244298157479741865,oe,100,64,big,Softmax,81.5829,0.7792026996612549,0.8006033897399902,0.7093904614448547,0.7727304697036743,0.5562640428543091,0.5986496806144714,0.6834208369255066,0.6027756929397583
split2,2022_08_09,5,6244298157479741865,oe,100,64,big,Softmax,80.4576,0.7524760961532593,0.8083694577217102,0.74652099609375,0.770847737789154,0.5900225043296814,0.569017231464386,0.5817704200744629,0.5873968601226807
split2,2022_08_09,1,1542568612150979033,oe,100,64,big,softmax_temp,81.62040510127532,0.8445753455162048,0.7124500870704651,0.5506981015205383,0.739556074142456,0.40247562527656555,0.7333083152770996,0.8885971307754517,0.7546886801719666
split2,2022_08_09,2,1542568612150979033,oe,100,64,big,softmax_temp,80.83270817704427,0.8300943374633789,0.7372945547103882,0.5596141219139099,0.7435183525085449,0.46699175238609314,0.676669180393219,0.8420855402946472,0.7081770300865173
split2,2022_08_09,3,1542568612150979033,oe,100,64,big,softmax_temp,81.84546136534134,0.8282411098480225,0.7580233216285706,0.5992821455001831,0.7578730583190918,0.38297075033187866,0.6177794337272644,0.850337564945221,0.6882970929145813
split2,2022_08_09,4,1542568612150979033,oe,100,64,big,softmax_temp,81.58289572393099,0.8060957193374634,0.6886592507362366,0.5285211801528931,0.7094780206680298,0.4684921205043793,0.7348086833953857,0.9474868774414062,0.789947509765625
split2,2022_08_09,5,1542568612150979033,oe,100,64,big,softmax_temp,80.4576144036009,0.7909657955169678,0.7327186465263367,0.6938081979751587,0.7511477470397949,0.4744936227798462,0.668792188167572,0.6676669120788574,0.613278329372406
split1,2022_08_09,1,2223373519943675197,cross_entropy,100,64,big,Softmax,89.21791951404707,0.9014626145362854,0.8549559116363525,0.8147653937339783,0.8631035685539246,0.28967350721359253,0.3785117566585541,0.4783599078655243,0.38572514057159424
split1,2022_08_09,2,2223373519943675197,cross_entropy,100,64,big,Softmax,89.14198936977981,0.904478907585144,0.842075765132904,0.7969286441802979,0.855099081993103,0.3473803997039795,0.4107820689678192,0.5094912648200989,0.4388762414455414
split1,2022_08_09,3,2223373519943675197,cross_entropy,100,64,big,Softmax,89.48367501898254,0.8982688188552856,0.855965256690979,0.7835262417793274,0.8548334836959839,0.3458617925643921,0.4107820689678192,0.5539103746414185,0.4263477623462677
split1,2022_08_09,4,2223373519943675197,cross_entropy,100,64,big,Softmax,89.14198936977981,0.8819761276245117,0.8653198480606079,0.7983781695365906,0.8557265996932983,0.38876232504844666,0.36864084005355835,0.5167046189308167,0.43204250931739807
split1,2022_08_09,5,2223373519943675197,cross_entropy,100,64,big,Softmax,89.52164009111617,0.8983715772628784,0.8690109848976135,0.8276644349098206,0.8703515529632568,0.3519362211227417,0.38800305128097534,0.4335611164569855,0.3906605839729309
split1,2022_08_10,1,8142470583948312255,energy,100,64,big,NegativeEnergy,87.54745634016705,0.8483433127403259,0.8173214197158813,0.6672725677490234,0.7934133410453796,0.6442672610282898,0.5690964460372925,0.8580106496810913,0.7274107933044434
split1,2022_08_10,2,8142470583948312255,energy,100,64,big,NegativeEnergy,86.63629460895976,0.7742425799369812,0.8816980123519897,0.769607424736023,0.8140743970870972,0.8367502093315125,0.46545177698135376,0.6909643411636353,0.6985573172569275
split1,2022_08_10,3,8142470583948312255,energy,100,64,big,NegativeEnergy,87.8132118451025,0.8198884725570679,0.8078160881996155,0.6996545195579529,0.7866623401641846,0.7384206652641296,0.6195899844169617,0.7562642097473145,0.7034927606582642
split1,2022_08_10,4,8142470583948312255,energy,100,64,big,NegativeEnergy,87.43356112376614,0.8123467564582825,0.867718517780304,0.6718078255653381,0.7999790906906128,0.7410781979560852,0.4931662976741791,0.8401670455932617,0.7532270550727844
split1,2022_08_10,5,8142470583948312255,energy,100,64,big,NegativeEnergy,88.1169324221716,0.7939296364784241,0.8456684947013855,0.7451587319374084,0.8020275235176086,0.7828397750854492,0.5163249969482422,0.7019742131233215,0.6757782697677612split1,2022_08_16,1,8911898418983570183,oe,100,10,big,Softmax,0.9344929456710815,0.8712335824966431,0.8166822791099548,0.8823440074920654,0.19514046609401703,0.42141228914260864,0.6123766303062439,0.3944571018218994
