split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
military,2022-09-22,1,1000000,vanilla,100,20,big,Softmax,0.9422680412371134,0.8965383768081665,0.7503825426101685,0.8761100172996521,0.4134020507335663,0.9123711585998535,0.5824742317199707,0.7514785528182983,0.6685451865196228,0.577325165271759,0.6657829880714417,0.7019575238227844,0.7901647090911865,0.793864905834198,0.7744091749191284
military,2022-09-22,2,1000001,vanilla,100,20,big,Softmax,0.9474226804123711,0.906546950340271,0.771532416343689,0.8876758813858032,0.3546391725540161,0.9061855673789978,0.491752564907074,0.7184520959854126,0.6309834122657776,0.6098591089248657,0.6530982255935669,0.708999752998352,0.8072332143783569,0.748866081237793,0.7618763446807861
military,2022-09-22,3,1000002,vanilla,100,20,big,Softmax,0.9381443298969072,0.8596509695053101,0.7259413003921509,0.8409622311592102,0.5896907448768616,1.0,0.6845360994338989,0.7843887805938721,0.68954998254776,0.6882439851760864,0.7207276225090027,0.62079256772995,0.7526856064796448,0.6591072082519531,0.6828598976135254
military,2022-09-22,4,1000003,vanilla,100,20,big,Softmax,0.9206185567010309,0.9072288870811462,0.8029034733772278,0.8926472663879395,0.36907216906547546,0.8175257444381714,0.4536082446575165,0.6497876048088074,0.5171462297439575,0.44349128007888794,0.5368083715438843,0.9764860272407532,0.9866316318511963,0.9185963273048401,0.9733826518058777
military,2022-09-22,5,1000004,vanilla,100,20,big,Softmax,0.9422680412371134,0.9071440696716309,0.7928358912467957,0.891167163848877,0.32474225759506226,0.7845360636711121,0.44329896569252014,0.7766642570495605,0.6891443729400635,0.5984180569648743,0.6880755424499512,0.6644784212112427,0.790403425693512,0.7740510702133179,0.7605633735656738
military,2022-09-23,1,1000000,oe,100,20,big,Softmax,0.9371134020618557,0.9734479784965515,0.8676010370254517,0.9586537480354309,0.11855670064687729,0.5443298816680908,0.18453608453273773,0.9974737167358398,0.9742738604545593,0.9956811666488647,0.989142894744873,0.013845786452293396,0.10444019734859467,0.018500834703445435,0.045237526297569275
military,2022-09-23,2,1000001,oe,100,20,big,Softmax,0.9422680412371134,0.9743232727050781,0.8573846817016602,0.9579787850379944,0.12474226951599121,0.5319587588310242,0.20824742317199707,0.9968292117118835,0.9689417481422424,0.9960548877716064,0.9872753024101257,0.014203866943717003,0.134280264377594,0.015874911099672318,0.06314156204462051
military,2022-09-23,3,1000002,oe,100,20,big,Softmax,0.9474226804123711,0.97459876537323,0.8560755848884583,0.9580327272415161,0.12371134012937546,0.6402061581611633,0.2144329845905304,0.9868409037590027,0.9422211647033691,0.9815303087234497,0.9701974391937256,0.05335402116179466,0.1872761994600296,0.0624254010617733,0.11112437397241592
military,2022-09-23,4,1000003,oe,100,20,big,Softmax,0.9402061855670103,0.9623392224311829,0.8491851687431335,0.9465236067771912,0.16907216608524323,0.5804123878479004,0.23402062058448792,0.997693657875061,0.980072021484375,0.9972215890884399,0.9916623830795288,0.012532823719084263,0.07674862444400787,0.013129625469446182,0.0422535203397274
military,2022-09-23,5,1000004,oe,100,20,big,Softmax,0.9391752577319588,0.9627113342285156,0.8437920212745667,0.9460898637771606,0.1628866046667099,0.6185566782951355,0.24639175832271576,0.9981051683425903,0.9793123602867126,0.996533215045929,0.9913168549537659,0.007400334347039461,0.08940081298351288,0.015278109349310398,0.03903079405426979
military,2022-10-04,1,1000000,energy,100,20,big,NegativeEnergy,0.9391752577319588,0.8393097519874573,0.684302806854248,0.8176442980766296,0.5247422456741333,0.9505154490470886,0.6422680616378784,0.962937593460083,0.7754581570625305,0.7544730305671692,0.8309562802314758,0.15648126602172852,0.7362139225006104,0.6755788922309875,0.6285509467124939
military,2022-09-24,2,1000001,energy,100,20,big,NegativeEnergy,0.9443298969072165,0.81028813123703,0.6637383699417114,0.7898048162460327,0.6092783212661743,0.8999999761581421,0.6886597871780396,0.9728298783302307,0.8231025338172913,0.8459805250167847,0.8806376457214355,0.10181427747011185,0.6013368368148804,0.5003581047058105,0.47469562292099
military,2022-09-24,3,1000002,energy,100,20,big,NegativeEnergy,0.9432989690721649,0.8831151127815247,0.7523497939109802,0.8648378849029541,0.4288659691810608,0.7711340188980103,0.5257731676101685,0.9563989639282227,0.7249815464019775,0.8354724645614624,0.838951051235199,0.19467653334140778,0.7719026207923889,0.5383146405220032,0.6285509467124939
military,2022-09-24,4,1000003,energy,100,20,big,NegativeEnergy,0.9381443298969072,0.8482350707054138,0.7324588298797607,0.8320528864860535,0.522680401802063,0.8628866076469421,0.5938144326210022,0.9588310718536377,0.7790632247924805,0.733318567276001,0.823737621307373,0.17164000868797302,0.6803532838821411,0.6723561882972717,0.6123179793357849
military,2022-09-24,5,1000004,energy,100,20,big,NegativeEnergy,0.9432989690721649,0.8790132403373718,0.7000835537910461,0.8540040850639343,0.5154638886451721,0.9082474112510681,0.6546391844749451,0.9569021463394165,0.7510716915130615,0.7320513725280762,0.8133417367935181,0.19718310236930847,0.6802339553833008,0.6433516144752502,0.6155406832695007
civ,2022-09-25,1,1000000,vanilla,100,20,big,Softmax,0.8128712871287128,0.7217878699302673,0.5587653517723083,0.699013352394104,0.698019802570343,0.9019802212715149,0.7732673287391663,0.7764477729797363,0.7082555294036865,0.6186609864234924,0.7011213898658752,0.6450149416923523,0.7474626898765564,0.863044798374176,0.7911641597747803
