split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR

split1,2022-09-02,1,1000000,quad,100,20,big,Softmax,0.9331814730447988,0.9440458416938782,0.7804200053215027,0.8130801916122437,0.8505299091339111,0.15451784431934357,0.8067578077316284,0.4753226935863495,0.6727410554885864,0.999813437461853,0.9995640516281128,0.9801902770996094,0.99318927526474,0.0,0.0,0.130952388048172,0.016190476715564728
split1,2022-09-02,2,1000001,quad,100,20,big,Softmax,0.9358390280941534,0.9489222764968872,0.8788352012634277,0.7560585141181946,0.8763024210929871,0.13819286227226257,0.4552012085914612,0.8059985041618347,0.4931662976741791,0.9999410510063171,0.9998530149459839,0.9883314967155457,0.9960418939590454,0.0,0.0,0.05999999865889549,0.012857142835855484
split1,2022-09-02,3,1000002,quad,100,20,big,Softmax,0.9384965831435079,0.9443168640136719,0.8774302005767822,0.8147251605987549,0.8879810571670532,0.1457858830690384,0.4753226935863495,0.5212604403495789,0.45064541697502136,0.9998530149459839,0.9993072748184204,0.9803690314292908,0.9931764006614685,0.0,0.0,0.12333333492279053,0.019999999552965164
split1,2022-09-02,4,1000003,quad,100,20,big,Softmax,0.9347000759301443,0.9444888830184937,0.8907228112220764,0.8056002259254456,0.890937864780426,0.16021260619163513,0.34700074791908264,0.6032649874687195,0.40508732199668884,0.9975631237030029,0.9988364577293396,0.9736261963844299,0.9900085926055908,0.005238095298409462,0.0009523809421807528,0.1604761928319931,0.04333333298563957
split1,2022-09-02,5,1000004,quad,100,20,big,Softmax,0.9373576309794989,0.9406386613845825,0.8341823220252991,0.7633007168769836,0.8578605055809021,0.1666666716337204,0.5736522674560547,0.6169324517250061,0.5592254996299744,0.9999575018882751,0.9996349811553955,0.9801349639892578,0.9932425022125244,0.0,0.0,0.12428571283817291,0.014761905185878277

split2,2022-09-14,1,1000000,quad,100,20,big,Softmax,0.9298574643660915,0.9697579145431519,0.8970750570297241,0.8204978704452515,0.9144668579101562,0.07614403963088989,0.330082505941391,0.4159789979457855,0.34358590841293335,0.999924898147583,0.9994352459907532,0.9896227717399597,0.9963276386260986,0.0,0.0,0.050999999046325684,0.005499999970197678
split2,2022-09-14,2,1000001,quad,100,20,big,Softmax,0.9227306826706677,0.9633442163467407,0.885165274143219,0.7887452840805054,0.9010618329048157,0.1166541650891304,0.37021756172180176,0.5011252760887146,0.39084771275520325,0.9999086260795593,0.9998407959938049,0.9850568175315857,0.9949353933334351,0.0,0.0,0.07750000059604645,0.004999999888241291
split2,2022-09-14,3,1000002,quad,100,20,big,Softmax,0.9257314328582146,0.9677635431289673,0.8750364184379578,0.7552086710929871,0.8927980661392212,0.08252062648534775,0.4943735897541046,0.7025506496429443,0.5262565612792969,0.9999073147773743,0.9994411468505859,0.9740539193153381,0.9911341667175293,0.0,0.0,0.18299999833106995,0.024000000208616257
split2,2022-09-14,4,1000003,quad,100,20,big,Softmax,0.9204801200300075,0.9586309194564819,0.8637742400169373,0.7609888315200806,0.8859027028083801,0.10877719521522522,0.5495123863220215,0.6534133553504944,0.5172542929649353,0.9999373555183411,0.9998177289962769,0.9926123023033142,0.9974558353424072,0.0,0.0,0.019500000402331352,0.0024999999441206455
split2,2022-09-14,5,1000004,quad,100,20,big,Softmax,0.9268567141785446,0.9630258083343506,0.8488760590553284,0.8074920177459717,0.8919665813446045,0.09902475774288177,0.6061515212059021,0.5120030045509338,0.48574644327163696,0.9999864101409912,0.9998167753219604,0.9840482473373413,0.9946171641349792,0.0,0.0,0.0820000022649765,0.006000000052154064

split3,2022-09-16,1,1000000,quad,100,20,big,Softmax,0.9207387456714121,0.9428020715713501,0.9051808714866638,0.7837162017822266,0.885734498500824,0.1612158566713333,0.3001154363155365,0.7052712440490723,0.45786839723587036,0.9999520778656006,0.9996047019958496,0.986516535282135,0.9953576922416687,0.0,0.00045454545761458576,0.06272727251052856,0.009545454755425453
split3,2022-09-16,2,1000001,quad,100,20,big,Softmax,0.9218930357829934,0.9469665288925171,0.9192242622375488,0.7520020604133606,0.883706271648407,0.1265871524810791,0.2320123165845871,0.8445556163787842,0.46556368470191956,0.9999120235443115,0.9998893737792969,0.9853401184082031,0.9950471520423889,0.0,0.0,0.05772727355360985,0.01227272767573595
split3,2022-09-16,3,1000002,quad,100,20,big,Softmax,0.9288187764524817,0.9401218295097351,0.9103649854660034,0.824785590171814,0.8978458046913147,0.15082724392414093,0.3105040490627289,0.47826087474823,0.3843786120414734,0.9999590516090393,0.9998375773429871,0.9752618074417114,0.9916861057281494,0.0,0.0,0.13636364042758942,0.022727273404598236
split3,2022-09-16,4,1000003,quad,100,20,big,Softmax,0.9292035398230089,0.9230695366859436,0.9310916662216187,0.7861857414245605,0.8886547088623047,0.17699114978313446,0.22777990996837616,0.5986918210983276,0.3951519727706909,0.9937566518783569,0.9987279176712036,0.9801076054573059,0.990864098072052,0.01772727258503437,0.0013636363437399268,0.10681818425655365,0.02863636426627636
split3,2022-09-16,5,1000004,quad,100,20,big,Softmax,0.923432089265102,0.9510576128959656,0.9011355042457581,0.813827395439148,0.8954777121543884,0.13582147657871246,0.3901500701904297,0.5105810165405273,0.42323970794677734,0.9998304843902588,0.9996715784072876,0.9784722328186035,0.9926581382751465,0.00045454545761458576,0.00045454545761458576,0.13090908527374268,0.01727272756397724

split4,2022-09-19,1,1000000,quad,100,20,big,Softmax,0.9321080270067517,0.9343243837356567,0.9504621624946594,0.8279688954353333,0.9141906499862671,0.20480120182037354,0.11965491622686386,0.4144786298274994,0.27756938338279724,0.9998401403427124,0.9994804859161377,0.9904512763023376,0.9965907335281372,0.0005000000237487257,0.0005000000237487257,0.03400000184774399,0.007000000216066837
split4,2022-09-19,2,1000001,quad,100,20,big,Softmax,0.9287321830457614,0.9534096121788025,0.9513728022575378,0.8410394191741943,0.9245023131370544,0.13128282129764557,0.12603150308132172,0.3660915195941925,0.2565641403198242,0.9996662139892578,0.9997732639312744,0.9892939329147339,0.9962444305419922,0.001500000013038516,0.0010000000474974513,0.04450000077486038,0.006500000134110451
split4,2022-09-19,3,1000002,quad,100,20,big,Softmax,0.9291072768192048,0.9326819181442261,0.9563513398170471,0.8047749996185303,0.9101728796958923,0.2576894164085388,0.11852963268756866,0.45311328768730164,0.3334583640098572,0.9997001886367798,0.9995445013046265,0.9882956147193909,0.9958469271659851,0.0,0.0,0.0560000017285347,0.00800000037997961
