split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,l3_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,l3_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR

split1,2022-11-08,1,1000000,energy,100,20,big,NegativeEnergy,0.9104024297646166,0.8978091478347778,0.7757108211517334,0.6856256127357483,0.8007757067680359,0.446469247341156,0.8059985041618347,0.9343204498291016,0.7539863586425781,0.832636833190918,0.7766305208206177,0.3957946300506592,0.6683540344238281,0.38238096237182617,0.5476190447807312,0.9747619032859802,0.8995237946510315
split1,2022-11-08,2,1000001,energy,100,20,big,NegativeEnergy,0.9031890660592256,0.8964204788208008,0.802972137928009,0.7450125217437744,0.8247715830802917,0.4183751046657562,0.7630979418754578,0.8238420486450195,0.6848899126052856,0.8548031449317932,0.7828327417373657,0.3801433742046356,0.6725930571556091,0.3466666638851166,0.5552380681037903,0.9704762101173401,0.9014285802841187
split1,2022-11-08,3,1000002,energy,100,20,big,NegativeEnergy,0.9160971905846621,0.9011508226394653,0.8132250905036926,0.7102361917495728,0.8221994638442993,0.4233105480670929,0.7076689600944519,0.8337129950523376,0.6936218738555908,0.8791778683662415,0.8017014265060425,0.4512917995452881,0.7107236385345459,0.2785714268684387,0.4866666793823242,0.9676190614700317,0.869523823261261
split1,2022-11-08,4,1000003,energy,100,20,big,NegativeEnergy,0.9054669703872438,0.9046763181686401,0.8151840567588806,0.7411518096923828,0.831649661064148,0.3697797954082489,0.6902050375938416,0.7805618643760681,0.6374335885047913,0.8359642624855042,0.7686352133750916,0.41017603874206543,0.6715917587280273,0.3700000047683716,0.5257142782211304,0.9504761695861816,0.8609523773193359
split1,2022-11-08,5,1000004,energy,100,20,big,NegativeEnergy,0.911921032649962,0.8975266218185425,0.7483959794044495,0.7234950661659241,0.7992788553237915,0.3777524530887604,0.8375095129013062,0.8158693909645081,0.7414578795433044,0.8903529644012451,0.8222081661224365,0.4044552445411682,0.7056720852851868,0.27047619223594666,0.5461905002593994,0.9780952334403992,0.9014285802841187

split2,2022-11-09,1,1000000,energy,100,20,big,NegativeEnergy,0.9156039009752438,0.8647019863128662,0.8479962348937988,0.6606873869895935,0.8180520534515381,0.408852219581604,0.5435108542442322,0.7906976938247681,0.5978994965553284,0.8428521156311035,0.7996845245361328,0.4377889931201935,0.6934419870376587,0.34950000047683716,0.5120000243186951,0.9940000176429749,0.925000011920929
split2,2022-11-09,2,1000001,energy,100,20,big,NegativeEnergy,0.9118529632408102,0.8546406626701355,0.8132901191711426,0.6112663745880127,0.7914931178092957,0.5097524523735046,0.7355588674545288,0.9583646059036255,0.782070517539978,0.8968372941017151,0.8413823246955872,0.4169830083847046,0.7184008359909058,0.2524999976158142,0.46650001406669617,0.9819999933242798,0.9144999980926514
split2,2022-11-09,3,1000002,energy,100,20,big,NegativeEnergy,0.9122280570142536,0.7916533350944519,0.8095735311508179,0.6544908881187439,0.7704927921295166,0.662415623664856,0.7048012018203735,0.8225806355476379,0.7209302186965942,0.9099091291427612,0.8244454264640808,0.4591309726238251,0.7311618328094482,0.24549999833106995,0.46950000524520874,0.9965000152587891,0.9495000243186951
split2,2022-11-09,4,1000003,energy,100,20,big,NegativeEnergy,0.9081020255063766,0.8706801533699036,0.8002303838729858,0.6345161199569702,0.7987899780273438,0.4276069104671478,0.7738184332847595,0.8660915493965149,0.7213053107261658,0.8474390506744385,0.7542290687561035,0.36185479164123535,0.6545076370239258,0.335999995470047,0.6144999861717224,0.9815000295639038,0.9330000281333923
split2,2022-11-09,5,1000004,energy,100,20,big,NegativeEnergy,0.9107276819204801,0.8679164052009583,0.8239872455596924,0.5939357280731201,0.7977450489997864,0.3983495831489563,0.6804201006889343,0.8923481106758118,0.7468116879463196,0.8713536858558655,0.7934156060218811,0.3911273181438446,0.6852989196777344,0.28949999809265137,0.4819999933242798,0.9879999756813049,0.925000011920929

split3,2022-11-09,1,1000000,energy,100,20,big,NegativeEnergy,0.8941900731050404,0.8880661129951477,0.8108072280883789,0.6173508763313293,0.7861405611038208,0.4459407329559326,0.7799153327941895,0.9538283944129944,0.8637937903404236,0.8869074583053589,0.8094937801361084,0.4063670039176941,0.7009227275848389,0.2977272868156433,0.535909116268158,0.9063636660575867,0.835454523563385
split3,2022-11-09,2,1000001,energy,100,20,big,NegativeEnergy,0.9015005771450558,0.8810725212097168,0.8135559558868408,0.6537005305290222,0.7945104837417603,0.4494036138057709,0.7064255475997925,0.9530588984489441,0.8164678812026978,0.8708460330963135,0.7911559343338013,0.37538039684295654,0.6791274547576904,0.31272727251052856,0.5009090900421143,0.9304545521736145,0.8568181991577148
split3,2022-11-09,3,1000002,energy,100,20,big,NegativeEnergy,0.9038091573682185,0.8781713247299194,0.8288587331771851,0.6782576441764832,0.8057175874710083,0.4678722620010376,0.7225856184959412,0.883031964302063,0.7795305848121643,0.868610680103302,0.832538902759552,0.45432889461517334,0.7184929251670837,0.3240908980369568,0.44363635778427124,0.9045454263687134,0.8195454478263855
split3,2022-11-09,4,1000003,energy,100,20,big,NegativeEnergy,0.9018853405155829,0.9016627073287964,0.814673662185669,0.6613485813140869,0.8044901490211487,0.33974605798721313,0.7445171475410461,0.9249711632728577,0.8260869383811951,0.8175795078277588,0.7334305644035339,0.3786497116088867,0.6432198882102966,0.41999998688697815,0.6204545497894287,0.9372727274894714,0.8568181991577148
